time,open,high,low,close,volume,Slow,jewel_high
1700000000000,99.9000,100.5000,99.5000,100.0000,1.0,50.00,40.00
1700086400000,100.1000,100.7000,99.7000,100.2000,1.0,50.00,40.00
1700172800000,100.3000,100.9000,99.9000,100.4000,1.0,50.00,40.00
1700259200000,99.9000,100.5000,99.5000,100.0000,1.0,50.00,40.00
1700345600000,100.1000,100.7000,99.7000,100.2000,1.0,50.00,40.00
1700432000000,100.3000,100.9000,99.9000,100.4000,1.0,50.00,40.00
1700518400000,99.9000,100.5000,99.5000,100.0000,1.0,50.00,40.00
1700604800000,100.1000,100.7000,99.7000,100.2000,1.0,50.00,40.00
1700691200000,100.3000,100.9000,99.9000,100.4000,1.0,50.00,40.00
1700777600000,99.9000,100.5000,99.5000,100.0000,1.0,50.00,40.00
1700864000000,100.1000,100.7000,99.7000,100.2000,1.0,50.00,40.00
1700950400000,100.3000,100.9000,99.9000,100.4000,1.0,50.00,40.00
1701036800000,99.9000,100.5000,99.5000,100.0000,1.0,50.00,40.00
1701123200000,100.1000,100.7000,99.7000,100.2000,1.0,50.00,40.00
1701209600000,100.3000,100.9000,99.9000,100.4000,1.0,50.00,40.00
1701296000000,99.9000,100.5000,99.5000,100.0000,1.0,50.00,40.00
1701382400000,100.1000,100.7000,99.7000,100.2000,1.0,50.00,40.00
1701468800000,100.3000,100.9000,99.9000,100.4000,1.0,50.00,40.00
1701555200000,99.9000,100.5000,99.5000,100.0000,1.0,50.00,40.00
1701641600000,100.1000,100.7000,99.7000,100.2000,1.0,50.00,40.00
1701728000000,100.5000,101.0000,100.0000,100.8000,1.0,65.00,50.00
1701814400000,100.8000,102.0000,100.5000,101.5000,1.0,72.00,55.00
1701900800000,101.5000,103.0000,101.0000,102.5000,1.0,75.00,60.00
1701987200000,102.5000,104.0000,102.0000,103.5000,1.0,78.00,70.00
1702073600000,103.5000,105.0000,103.0000,104.5000,1.0,80.00,75.00
1702160000000,104.5000,105.0000,103.0000,103.8000,1.0,68.00,72.00
1702246400000,103.8000,104.0000,103.0000,103.5000,1.0,60.00,50.00
1702332800000,103.5000,104.0000,103.0000,103.2000,1.0,62.00,55.00
1702419200000,103.2000,104.0000,102.5000,103.0000,1.0,71.00,75.00
1702505600000,103.0000,106.0000,102.8000,105.5000,1.0,73.00,82.00
1702592000000,105.5000,108.0000,105.0000,107.0000,1.0,76.00,85.00
1702678400000,107.0000,109.0000,106.5000,108.0000,1.0,78.00,88.00
1702764800000,108.0000,108.5000,90.0000,92.0000,1.0,74.00,84.00
1702851200000,92.0000,93.0000,90.0000,91.0000,1.0,65.00,70.00
1702937600000,91.0000,91.3000,90.7000,91.0000,1.0,55.00,45.00
1703024000000,91.1000,91.4000,90.8000,91.1000,1.0,55.00,45.00
1703110400000,91.2000,91.5000,90.9000,91.2000,1.0,55.00,45.00
1703196800000,91.3000,91.6000,91.0000,91.3000,1.0,55.00,45.00
1703283200000,91.4000,91.7000,91.1000,91.4000,1.0,55.00,45.00
1703369600000,91.5000,91.8000,91.2000,91.5000,1.0,55.00,45.00
