symbol,strategy_id,tf,mode_params,n_6m,wr_6m_pct,mode_a_ret_6m_pct,bh_ret_6m_pct,ratio_bh_6m,pass_6m,n_full,wr_full_pct,mode_a_ret_full_pct,bh_ret_full_pct,ratio_bh_full,pass_full,ops_ret_6m_pct,ops_ret_full_pct,notes
BTCUSDT,classic-floor-pivots-utc-v1,15m,mode_a|day|buf0.0,67,34.3,-28.29,4.88,-5.801,N,266,38.3,-62.22,31.84,-1.954,N,-0.82,-2.34,
BTCUSDT,classic-floor-pivots-utc-v1,15m,mode_a|day|buf0.5,67,25.4,-21.04,4.88,-4.313,N,266,26.3,-61.55,31.84,-1.933,N,-0.58,-2.34,
BTCUSDT,classic-floor-pivots-utc-v1,15m,mode_a|day|buf1.0,67,26.9,-25.10,4.88,-5.146,N,266,28.9,-63.31,31.84,-1.988,N,-0.71,-2.44,
BTCUSDT,classic-floor-pivots-utc-v1,15m,mode_b|day|buf0.0,74,39.2,-20.59,4.88,-4.223,N,284,43.7,-57.88,31.84,-1.818,N,-0.56,-2.09,
BTCUSDT,classic-floor-pivots-utc-v1,15m,mode_b|day|buf0.5,74,20.3,-27.70,4.88,-5.680,N,284,28.2,-56.49,31.84,-1.774,N,-0.80,-2.04,
BTCUSDT,classic-floor-pivots-utc-v1,15m,mode_b|day|buf1.0,74,28.4,-22.50,4.88,-4.614,N,284,32.7,-57.31,31.84,-1.800,N,-0.63,-2.08,
BTCUSDT,classic-floor-pivots-utc-v1,1h,mode_a|day|buf0.0,64,39.1,-28.94,5.87,-4.927,N,252,44.8,-59.15,32.11,-1.842,N,-0.84,-2.15,
BTCUSDT,classic-floor-pivots-utc-v1,1h,mode_a|day|buf0.5,64,35.9,-23.71,5.87,-4.037,N,252,38.9,-54.30,32.11,-1.691,N,-0.67,-1.90,
BTCUSDT,classic-floor-pivots-utc-v1,1h,mode_a|day|buf1.0,64,39.1,-23.74,5.87,-4.041,N,252,42.1,-52.30,32.11,-1.629,N,-0.67,-1.79,
BTCUSDT,classic-floor-pivots-utc-v1,1h,mode_b|day|buf0.0,67,38.8,-11.87,5.87,-2.021,N,255,43.5,-48.56,32.11,-1.513,N,-0.31,-1.60,
BTCUSDT,classic-floor-pivots-utc-v1,1h,mode_b|day|buf0.5,67,32.8,-10.25,5.87,-1.745,N,255,36.9,-51.09,32.11,-1.591,N,-0.26,-1.73,
BTCUSDT,classic-floor-pivots-utc-v1,1h,mode_b|day|buf1.0,67,37.3,-9.60,5.87,-1.635,N,255,40.8,-49.05,32.11,-1.528,N,-0.24,-1.63,
BTCUSDT,classic-floor-pivots-utc-v1,1h,mode_a|week|buf0.0,12,50.0,-5.08,5.87,-0.864,N,42,50.0,-3.63,32.11,-0.113,N,-0.12,-0.03,
