strategy_id,TF,mode,p,x,q,btc_n_6m,btc_wr_6m,btc_ret_6m,btc_bh_6m,btc_x_bh_6m,btc_pass_6m,btc_smoke,eth_n_6m,eth_ret_6m,eth_bh_6m,eth_x_bh_6m,eth_pass_6m,eth_smoke,sol_n_6m,sol_ret_6m,sol_bh_6m,sol_x_bh_6m,sol_pass_6m,sol_smoke,bnb_n_6m,bnb_ret_6m,bnb_bh_6m,bnb_x_bh_6m,bnb_pass_6m,bnb_smoke,full_ladder_pass_6m,btc_ret_2y,btc_n_2y,btc_bh_2y,btc_ops_ret_2y,notes
chande-kroll-stop-flip,1h,A,14,1.0,9,72,40.28,24.09,26.77,0.900,N,FAIL: lag B&H (0.900x),82,19.78,35.57,0.556,N,FAIL: under 1.2x B&H (0.556x),88,17.18,38.52,0.446,N,"FAIL: under 1.2x B&H (0.446x, 0.922x rhyme)",86,3.60,28.88,0.125,N,"FAIL: under 1.2x B&H (0.125x, quiet wipe)",N,-50.18,360,37.55,-1.47,denser_n(72>>9)
chande-kroll-stop-flip,1h,A,8,1.0,14,75,38.67,23.90,26.77,0.893,N,FAIL: lag B&H (0.893x),89,6.56,35.57,0.185,N,FAIL: under 1.2x B&H (0.185x),92,6.14,38.52,0.159,N,"FAIL: under 1.2x B&H (0.159x, 0.922x rhyme)",89,4.40,28.88,0.152,N,"FAIL: under 1.2x B&H (0.152x, quiet wipe)",N,-48.85,372,37.55,-1.43,denser_n(75>>9)
chande-kroll-stop-flip,1h,A,14,1.0,11,67,37.31,21.93,26.77,0.819,N,FAIL: lag B&H (0.819x),76,23.27,35.57,0.654,N,FAIL: under 1.2x B&H (0.654x),79,19.75,38.52,0.513,N,"FAIL: under 1.2x B&H (0.513x, 0.922x rhyme)",78,4.26,28.88,0.148,N,"FAIL: under 1.2x B&H (0.148x, quiet wipe)",N,-46.47,325,37.55,-1.30,denser_n(67>>9)
chande-kroll-stop-flip,1h,A,8,0.8,14,69,40.58,21.71,26.77,0.811,N,FAIL: lag B&H (0.811x),76,15.53,35.57,0.437,N,FAIL: under 1.2x B&H (0.437x),81,6.84,38.52,0.177,N,"FAIL: under 1.2x B&H (0.177x, 0.922x rhyme)",82,6.14,28.88,0.212,N,"FAIL: under 1.2x B&H (0.212x, quiet wipe)",N,-45.60,329,37.55,-1.26,denser_n(69>>9)
chande-kroll-stop-flip,4h,A,10,1.2,14,20,45.00,18.80,23.52,0.799,N,FAIL: lag B&H (0.799x),22,11.13,30.24,0.368,N,FAIL: under 1.2x B&H (0.368x),23,15.89,32.43,0.490,N,"FAIL: under 1.2x B&H (0.490x, 0.922x rhyme)",24,6.41,26.27,0.244,N,"FAIL: under 1.2x B&H (0.244x, quiet wipe)",N,3.50,88,37.14,0.39,denser_n(20>>9)
chande-kroll-stop-flip,4h,A,8,1.2,14,23,39.13,17.92,23.52,0.762,N,FAIL: lag B&H (0.762x),24,22.24,30.24,0.736,N,FAIL: under 1.2x B&H (0.736x),23,21.87,32.43,0.674,N,"FAIL: under 1.2x B&H (0.674x, 0.922x rhyme)",28,8.42,26.27,0.321,N,"FAIL: under 1.2x B&H (0.321x, quiet wipe)",N,-0.12,97,37.14,0.25,denser_n(23>>9)
chande-kroll-stop-flip,4h,A,12,1.0,11,20,45.00,17.43,23.52,0.741,N,FAIL: lag B&H (0.741x),20,12.39,30.24,0.410,N,FAIL: under 1.2x B&H (0.410x),20,14.94,32.43,0.461,N,"FAIL: under 1.2x B&H (0.461x, 0.922x rhyme)",20,11.26,26.27,0.428,N,"FAIL: under 1.2x B&H (0.428x, quiet wipe)",N,20.59,81,37.14,0.78,denser_n(20>>9)
chande-kroll-stop-flip,4h,A,12,1.2,5,33,30.30,17.29,23.52,0.735,N,FAIL: lag B&H (0.735x),39,8.27,30.24,0.273,N,FAIL: under 1.2x B&H (0.273x),34,25.57,32.43,0.789,N,"FAIL: under 1.2x B&H (0.789x, 0.922x rhyme)",38,7.35,26.27,0.280,N,"FAIL: under 1.2x B&H (0.280x, quiet wipe)",N,1.71,145,37.14,0.33,denser_n(33>>9)
chande-kroll-stop-flip,4h,A,8,1.5,9,40,32.50,17.17,23.52,0.730,N,FAIL: lag B&H (0.730x),48,-0.43,30.24,-0.014,N,FAIL: under 1.2x B&H (-0.014x),48,12.18,32.43,0.376,N,"FAIL: under 1.2x B&H (0.376x, 0.922x rhyme)",44,6.40,26.27,0.243,N,"FAIL: under 1.2x B&H (0.243x, quiet wipe)",N,-12.35,174,37.14,-0.04,denser_n(40>>9)
chande-kroll-stop-flip,4h,A,14,1.2,9,22,40.91,16.79,23.52,0.714,N,FAIL: lag B&H (0.714x),22,18.86,30.24,0.624,N,FAIL: under 1.2x B&H (0.624x),23,17.82,32.43,0.550,N,"FAIL: under 1.2x B&H (0.550x, 0.922x rhyme)",27,5.27,26.27,0.201,N,"FAIL: under 1.2x B&H (0.201x, quiet wipe)",N,18.64,93,37.14,0.74,denser_n(22>>9)
chande-kroll-stop-flip,1h,A,14,0.8,9,68,39.71,18.78,26.77,0.702,N,FAIL: lag B&H (0.702x),69,19.90,35.57,0.560,N,FAIL: under 1.2x B&H (0.560x),78,7.03,38.52,0.182,N,"FAIL: under 1.2x B&H (0.182x, 0.922x rhyme)",75,9.11,28.88,0.315,N,"FAIL: under 1.2x B&H (0.315x, quiet wipe)",N,-54.24,325,37.55,-1.68,denser_n(68>>9)
chande-kroll-stop-flip,4h,A,12,1.2,14,18,38.89,16.32,23.52,0.694,N,FAIL: lag B&H (0.694x),19,12.80,30.24,0.423,N,FAIL: under 1.2x B&H (0.423x),19,18.07,32.43,0.557,N,"FAIL: under 1.2x B&H (0.557x, 0.922x rhyme)",23,4.32,26.27,0.164,N,"FAIL: under 1.2x B&H (0.164x, quiet wipe)",N,-2.54,81,37.14,0.24,denser_n(18>>9)
chande-kroll-stop-flip,4h,A,14,1.2,14,16,37.50,16.31,23.52,0.694,N,FAIL: lag B&H (0.694x),17,9.65,30.24,0.319,N,FAIL: under 1.2x B&H (0.319x),20,13.97,32.43,0.431,N,"FAIL: under 1.2x B&H (0.431x, 0.922x rhyme)",19,3.02,26.27,0.115,N,"FAIL: under 1.2x B&H (0.115x, quiet wipe)",N,-8.27,76,37.14,0.02,denser_n(16>>9)
chande-kroll-stop-flip,4h,A,14,1.2,11,19,42.11,16.06,23.52,0.683,N,FAIL: lag B&H (0.683x),20,12.99,30.24,0.430,N,FAIL: under 1.2x B&H (0.430x),20,27.02,32.43,0.833,N,"FAIL: under 1.2x B&H (0.833x, 0.922x rhyme)",23,7.79,26.27,0.296,N,"FAIL: under 1.2x B&H (0.296x, quiet wipe)",N,-0.88,86,37.14,0.28,denser_n(19>>9)
chande-kroll-stop-flip,4h,A,14,1.0,14,15,40.00,16.04,23.52,0.682,N,FAIL: lag B&H (0.682x),15,15.67,30.24,0.518,N,FAIL: under 1.2x B&H (0.518x),16,22.97,32.43,0.708,N,"FAIL: under 1.2x B&H (0.708x, 0.922x rhyme)",18,0.83,26.27,0.032,N,"FAIL: under 1.2x B&H (0.032x, quiet wipe)",N,3.40,65,37.14,0.30,denser_n(15>>9)
chande-kroll-stop-flip,1h,A,10,1.0,14,71,36.62,18.14,26.77,0.678,N,FAIL: lag B&H (0.678x),78,23.73,35.57,0.667,N,FAIL: under 1.2x B&H (0.667x),84,7.14,38.52,0.185,N,"FAIL: under 1.2x B&H (0.185x, 0.922x rhyme)",81,7.69,28.88,0.266,N,"FAIL: under 1.2x B&H (0.266x, quiet wipe)",N,-52.81,341,37.55,-1.60,denser_n(71>>9)
chande-kroll-stop-flip,4h,A,14,0.8,7,20,45.00,15.70,23.52,0.667,N,FAIL: lag B&H (0.667x),19,11.97,30.24,0.396,N,FAIL: under 1.2x B&H (0.396x),20,18.16,32.43,0.560,N,"FAIL: under 1.2x B&H (0.560x, 0.922x rhyme)",20,7.72,26.27,0.294,N,"FAIL: under 1.2x B&H (0.294x, quiet wipe)",N,13.02,82,37.14,0.61,denser_n(20>>9)
