symbol,strategy_id,tf,mode_params,n_6m,wr_6m_pct,mode_a_ret_6m_pct,bh_ret_6m_pct,ratio_bh_6m,pass_6m,n_full,wr_full_pct,mode_a_ret_full_pct,bh_ret_full_pct,ratio_bh_full,pass_full,ops_ret_6m_pct,ops_ret_full_pct,notes
BTCUSDT,pwh-pwl-accept-break-v1,15m,mode_a|rvol_off,11,9.09,10.08,5.72,1.7632,PASS,50,8.00,2.39,32.17,0.0742,FAIL,0.28,0.12,
BTCUSDT,pwh-pwl-accept-break-v1,15m,mode_a|rvol1.0,10,10.00,10.71,5.72,1.8728,PASS,48,8.33,2.36,32.17,0.0734,FAIL,0.29,0.12,
BTCUSDT,pwh-pwl-accept-break-v1,15m,mode_a|rvol1.5,10,10.00,9.91,5.72,1.7333,PASS,47,8.51,-0.52,32.17,-0.0162,FAIL,0.27,0.05,
BTCUSDT,pwh-pwl-accept-break-v1,15m,mode_b|rvol_off,11,9.09,12.06,5.72,2.1091,PASS,45,8.89,13.52,32.17,0.4202,FAIL,0.32,0.38,
BTCUSDT,pwh-pwl-accept-break-v1,15m,mode_b|rvol1.0,8,12.50,13.34,5.72,2.3331,PASS,40,10.00,15.91,32.17,0.4947,FAIL,0.35,0.43,
BTCUSDT,pwh-pwl-accept-break-v1,15m,mode_b|rvol1.5,7,14.29,13.94,5.72,2.4376,PASS,34,8.82,8.40,32.17,0.2611,FAIL,0.36,0.25,
BTCUSDT,pwh-pwl-accept-break-v1,1h,mode_a|rvol_off,11,9.09,5.96,5.87,1.0149,FAIL,49,16.33,0.07,32.11,0.0021,FAIL,0.18,0.06,
BTCUSDT,pwh-pwl-accept-break-v1,1h,mode_a|rvol1.0,11,9.09,5.96,5.87,1.0149,FAIL,48,16.67,0.74,32.11,0.0230,FAIL,0.18,0.08,
BTCUSDT,pwh-pwl-accept-break-v1,1h,mode_a|rvol1.5,9,11.11,7.37,5.87,1.2543,PASS,42,16.67,1.14,32.11,0.0354,FAIL,0.21,0.09,
BTCUSDT,pwh-pwl-accept-break-v1,1h,mode_b|rvol_off,9,11.11,-3.53,5.87,-0.6006,FAIL,39,20.51,10.18,32.11,0.3172,FAIL,-0.09,0.28,
BTCUSDT,pwh-pwl-accept-break-v1,1h,mode_b|rvol1.0,9,11.11,-3.81,5.87,-0.6488,FAIL,35,14.29,-10.00,32.11,-0.3115,FAIL,-0.10,-0.25,
BTCUSDT,pwh-pwl-accept-break-v1,1h,mode_b|rvol1.5,8,12.50,-3.24,5.87,-0.5509,FAIL,26,15.38,-5.68,32.11,-0.1770,FAIL,-0.08,-0.13,
