symbol,strategy_id,tf,mode_params,n_6m,wr_6m_pct,mode_a_ret_6m_pct,bh_ret_6m_pct,ratio_bh_6m,pass_6m,n_full,wr_full_pct,mode_a_ret_full_pct,bh_ret_full_pct,ratio_bh_full,pass_full,ops_ret_6m_pct,ops_ret_full_pct,notes
BTCUSDT,vwma-sma-cross-v1,1h,"mode_a|(10,10)",293,23.9,-58.88,5.97,-9.858,FAIL,1181,25.7,-97.22,32.23,-3.017,FAIL,-2.15,-8.37,
BTCUSDT,vwma-sma-cross-v1,1h,"mode_a|(20,20)",174,28.2,-44.41,5.97,-7.435,FAIL,641,28.1,-84.38,32.23,-2.618,FAIL,-1.43,-4.37,
BTCUSDT,vwma-sma-cross-v1,1h,"mode_a|(34,34)",113,26.5,-34.95,5.97,-5.852,FAIL,418,30.4,-68.90,32.23,-2.138,FAIL,-1.02,-2.73,
BTCUSDT,vwma-sma-cross-v1,1h,"mode_a|(50,50)",88,35.2,-19.56,5.97,-3.276,FAIL,313,31.0,-58.53,32.23,-1.816,FAIL,-0.48,-1.99,
BTCUSDT,vwma-sma-cross-v1,1h,"mode_a|(10,20)",130,25.4,-25.41,5.97,-4.254,FAIL,542,25.5,-76.29,32.23,-2.367,FAIL,-0.67,-3.30,
BTCUSDT,vwma-sma-cross-v1,1h,"mode_a|(20,50)",52,25.0,-10.26,5.97,-1.718,FAIL,213,29.6,-47.33,32.23,-1.468,FAIL,-0.20,-1.34,
BTCUSDT,vwma-sma-cross-v1,1h,"mode_b|(10,10)",276,21.0,-52.04,5.97,-8.713,FAIL,1135,22.1,-95.25,32.23,-2.955,FAIL,-1.79,-7.20,
BTCUSDT,vwma-sma-cross-v1,1h,"mode_b|(20,20)",184,23.9,-40.14,5.97,-6.721,FAIL,681,23.3,-82.56,32.23,-2.562,FAIL,-1.25,-4.15,
BTCUSDT,vwma-sma-cross-v1,1h,"mode_b|(10,20)",163,23.3,-34.96,5.97,-5.854,FAIL,674,22.6,-85.70,32.23,-2.659,FAIL,-1.01,-4.55,
BTCUSDT,vwma-sma-cross-v1,4h,"mode_a|(10,10)",84,33.3,-18.71,7.56,-2.476,FAIL,305,36.7,-45.01,31.92,-1.410,FAIL,-0.47,-1.29,
BTCUSDT,vwma-sma-cross-v1,4h,"mode_a|(20,20)",53,43.4,6.23,7.56,0.825,FAIL,180,38.9,-8.04,31.92,-0.252,FAIL,0.22,0.00,
BTCUSDT,vwma-sma-cross-v1,4h,"mode_a|(34,34)",27,40.7,14.34,7.56,1.898,PASS,106,37.7,-14.70,31.92,-0.461,FAIL,0.42,-0.23,
BTCUSDT,vwma-sma-cross-v1,4h,"mode_a|(50,50)",27,44.4,24.59,7.56,3.255,PASS,81,49.4,31.77,31.92,0.995,FAIL,0.64,0.94,
BTCUSDT,vwma-sma-cross-v1,4h,"mode_a|(10,20)",31,32.3,-12.69,7.56,-1.679,FAIL,129,37.2,-2.47,31.92,-0.077,FAIL,-0.27,0.21,
BTCUSDT,vwma-sma-cross-v1,4h,"mode_a|(20,50)",11,45.5,22.05,7.56,2.918,PASS,54,33.3,10.39,31.92,0.325,FAIL,0.56,0.46,
BTCUSDT,vwma-sma-cross-v1,4h,"mode_b|(10,10)",81,24.7,-23.53,7.56,-3.115,FAIL,294,28.9,-50.20,31.92,-1.573,FAIL,-0.63,-1.57,
BTCUSDT,vwma-sma-cross-v1,4h,"mode_b|(20,20)",54,29.6,-2.46,7.56,-0.326,FAIL,205,25.4,-36.52,31.92,-1.144,FAIL,-0.00,-0.95,
BTCUSDT,vwma-sma-cross-v1,4h,"mode_b|(10,20)",41,22.0,-14.52,7.56,-1.922,FAIL,173,23.1,-37.93,31.92,-1.188,FAIL,-0.33,-0.95,
ETHUSDT,vwma-sma-cross-v1,4h,"mode_a|(34,34)",26,42.3,25.19,11.45,2.200,PASS,114,40.4,14.07,6.11,2.301,PASS,0.71,1.04,
ETHUSDT,vwma-sma-cross-v1,4h,"mode_a|(50,50)",19,31.6,16.78,11.45,1.466,PASS,74,33.8,50.68,6.11,8.289,PASS,0.55,1.89,
ETHUSDT,vwma-sma-cross-v1,4h,"mode_a|(20,50)",15,33.3,23.59,11.45,2.061,PASS,56,32.1,16.39,6.11,2.680,PASS,0.64,1.02,
SOLUSDT,vwma-sma-cross-v1,4h,"mode_a|(34,34)",39,30.8,-18.16,11.41,-1.591,FAIL,119,42.0,-28.96,-23.98,1.208,FAIL,-0.37,-0.32,SOL hard filter
SOLUSDT,vwma-sma-cross-v1,4h,"mode_a|(50,50)",26,38.5,10.57,11.41,0.926,FAIL,77,35.1,-19.32,-23.98,0.806,PASS,0.46,0.34,Near-miss 6m (0.93x B&H); SOL hard filter
SOLUSDT,vwma-sma-cross-v1,4h,"mode_a|(20,50)",13,46.2,13.40,11.41,1.174,FAIL,49,42.9,27.89,-23.98,-1.163,PASS,0.44,1.12,Near-miss 6m (1.17x B&H); SOL hard filter
BTCUSDT,phh-phl-accept-break-v1,15m,mode_a|rvol_off,0,0.0,0.00,5.54,0.000,FAIL,0,0.0,0.00,32.19,0.000,FAIL,0.00,0.00,
BTCUSDT,phh-phl-accept-break-v1,15m,mode_a|rvol1.0,0,0.0,0.00,5.54,0.000,FAIL,0,0.0,0.00,32.19,0.000,FAIL,0.00,0.00,
BTCUSDT,phh-phl-accept-break-v1,15m,mode_a|rvol1.5,0,0.0,0.00,5.54,0.000,FAIL,0,0.0,0.00,32.19,0.000,FAIL,0.00,0.00,
BTCUSDT,phh-phl-accept-break-v1,15m,mode_b|rvol_off,0,0.0,0.00,5.54,0.000,FAIL,1,100.0,30.89,32.19,0.960,FAIL,0.00,0.77,
BTCUSDT,phh-phl-accept-break-v1,15m,mode_b|rvol1.0,6,16.7,25.41,5.54,4.588,PASS,8,12.5,23.54,32.19,0.731,FAIL,0.66,0.62,
BTCUSDT,phh-phl-accept-break-v1,15m,mode_b|rvol1.5,22,4.5,13.03,5.54,2.353,PASS,56,1.8,-11.24,32.19,-0.349,FAIL,0.39,-0.21,
BTCUSDT,phh-phl-accept-break-v1,1h,mode_a|rvol_off,0,0.0,0.00,5.97,0.000,FAIL,0,0.0,0.00,32.23,0.000,FAIL,0.00,0.00,
BTCUSDT,phh-phl-accept-break-v1,1h,mode_a|rvol1.0,0,0.0,0.00,5.97,0.000,FAIL,0,0.0,0.00,32.23,0.000,FAIL,0.00,0.00,
BTCUSDT,phh-phl-accept-break-v1,1h,mode_a|rvol1.5,0,0.0,0.00,5.97,0.000,FAIL,0,0.0,0.00,32.23,0.000,FAIL,0.00,0.00,
BTCUSDT,phh-phl-accept-break-v1,1h,mode_b|rvol_off,0,0.0,0.00,5.97,0.000,FAIL,0,0.0,0.00,32.23,0.000,FAIL,0.00,0.00,
BTCUSDT,phh-phl-accept-break-v1,1h,mode_b|rvol1.0,0,0.0,0.00,5.97,0.000,FAIL,0,0.0,0.00,32.23,0.000,FAIL,0.00,0.00,
BTCUSDT,phh-phl-accept-break-v1,1h,mode_b|rvol1.5,0,0.0,0.00,5.97,0.000,FAIL,0,0.0,0.00,32.23,0.000,FAIL,0.00,0.00,
ETHUSDT,phh-phl-accept-break-v1,15m,mode_b|rvol1.0,0,0.0,0.00,8.81,0.000,FAIL,64,1.6,5.08,6.22,0.817,FAIL,0.00,0.54,
ETHUSDT,phh-phl-accept-break-v1,15m,mode_b|rvol1.5,5,20.0,48.39,8.81,5.495,PASS,47,2.1,7.96,6.22,1.281,PASS,1.25,0.45,
SOLUSDT,phh-phl-accept-break-v1,15m,mode_b|rvol1.5,58,1.7,-16.29,10.21,-1.596,FAIL,99,1.0,-45.16,-23.98,1.883,FAIL,-0.39,-1.43,SOL hard filter
BTCUSDT,t3-dual-cross-v1,1h,"mode_a|(5,15)|vf0.7",125,31.2,-21.14,5.97,-3.538,FAIL,531,29.4,-79.25,32.23,-2.459,FAIL,-0.53,-3.60,
BTCUSDT,t3-dual-cross-v1,1h,"mode_a|(8,21)|vf0.7",87,39.1,-14.59,5.97,-2.442,FAIL,366,36.3,-62.22,32.23,-1.930,FAIL,-0.35,-2.17,
BTCUSDT,t3-dual-cross-v1,1h,"mode_a|(10,30)|vf0.7",67,35.8,-14.75,5.97,-2.470,FAIL,256,35.2,-54.11,32.23,-1.679,FAIL,-0.36,-1.71,
BTCUSDT,t3-dual-cross-v1,1h,"mode_a|(5,15)|vf0.5",110,30.9,-22.03,5.97,-3.688,FAIL,459,28.8,-71.39,32.23,-2.215,FAIL,-0.56,-2.85,
BTCUSDT,t3-dual-cross-v1,1h,"mode_a|(8,21)|vf0.5",76,32.9,-20.39,5.97,-3.413,FAIL,306,31.7,-64.47,32.23,-2.000,FAIL,-0.53,-2.34,
BTCUSDT,t3-dual-cross-v1,1h,"mode_a|(10,30)|vf0.5",56,32.1,-4.57,5.97,-0.765,FAIL,222,32.9,-41.74,32.23,-1.295,FAIL,-0.04,-1.10,
BTCUSDT,t3-dual-cross-v1,4h,"mode_a|(5,15)|vf0.7",32,28.1,-5.21,7.56,-0.690,FAIL,134,32.1,2.04,31.92,0.064,FAIL,-0.05,0.27,
BTCUSDT,t3-dual-cross-v1,4h,"mode_a|(8,21)|vf0.7",23,34.8,-5.24,7.56,-0.694,FAIL,92,39.1,-8.59,31.92,-0.269,FAIL,-0.06,-0.02,
BTCUSDT,t3-dual-cross-v1,4h,"mode_a|(10,30)|vf0.7",18,27.8,-3.73,7.56,-0.494,FAIL,71,32.4,-28.54,31.92,-0.894,FAIL,-0.02,-0.62,
