symbol,strategy_id,tf,mode_params,bnb_smoke,n_6m,wr_6m_pct,mode_a_ret_6m_pct,bh_ret_6m_pct,ratio_bh_6m,pass_6m,n_full,wr_full_pct,mode_a_ret_full_pct,bh_ret_full_pct,ratio_bh_full,pass_full,ops_ret_6m_pct,ops_ret_full_pct,notes
BTCUSDT,rvol-pivot-structure-break-v1,1h,mode_a|k1.2|v20|p2,Y,107,25.2,-21.87,7.37,-2.966,FAIL,463,24.6,-71.90,31.40,-2.290,FAIL,-0.61,-3.06,
BTCUSDT,rvol-pivot-structure-break-v1,1h,mode_a|k1.5|v20|p2,Y,88,25.0,-16.32,7.37,-2.214,FAIL,354,25.4,-57.89,31.40,-1.844,FAIL,-0.44,-2.09,
BTCUSDT,rvol-pivot-structure-break-v1,1h,mode_a|k2.0|v20|p2,Y,53,28.3,-6.69,7.37,-0.908,FAIL,225,25.8,-45.44,31.40,-1.447,FAIL,-0.17,-1.47,
BTCUSDT,rvol-pivot-structure-break-v1,1h,mode_a|k1.5|v50|p2,Y,73,28.8,-10.77,7.37,-1.460,FAIL,321,26.8,-54.44,31.40,-1.734,FAIL,-0.28,-1.90,
BTCUSDT,rvol-pivot-structure-break-v1,1h,mode_a|k1.5|v20|p3,Y,81,28.4,-10.91,7.37,-1.480,FAIL,327,30.0,-56.10,31.40,-1.787,FAIL,-0.28,-1.98,
BTCUSDT,rvol-pivot-structure-break-v1,1h,mode_b|k1.2|v20|L5,Y,109,16.5,-37.06,7.37,-5.026,FAIL,415,23.9,-73.13,31.40,-2.329,FAIL,-1.14,-3.17,
BTCUSDT,rvol-pivot-structure-break-v1,1h,mode_b|k1.5|v20|L10,Y,60,21.7,-21.86,7.37,-2.965,FAIL,218,22.0,-57.94,31.40,-1.846,FAIL,-0.61,-2.09,
BTCUSDT,rvol-pivot-structure-break-v1,1h,mode_b|k2.0|v20|L20,Y,30,26.7,6.34,7.37,0.860,FAIL,114,22.8,-27.38,31.40,-0.872,FAIL,0.20,-0.72,
BTCUSDT,rvol-pivot-structure-break-v1,1h,mode_b|k1.5|v50|L10,Y,55,16.4,-25.48,7.37,-3.456,FAIL,198,21.2,-56.39,31.40,-1.796,FAIL,-0.72,-2.00,
BTCUSDT,rvol-pivot-structure-break-v1,4h,mode_a|k1.2|v20|p2,Y,30,20.0,-4.79,7.56,-0.634,FAIL,130,25.4,-33.92,31.31,-1.083,FAIL,-0.10,-0.98,
BTCUSDT,rvol-pivot-structure-break-v1,4h,mode_a|k1.5|v20|p2,Y,21,23.8,0.61,7.56,0.081,FAIL,91,27.5,-23.86,31.31,-0.762,FAIL,0.03,-0.63,
BTCUSDT,rvol-pivot-structure-break-v1,4h,mode_a|k2.0|v20|p2,Y,12,16.7,3.87,7.56,0.513,FAIL,56,25.0,-19.65,31.31,-0.628,FAIL,0.11,-0.51,
BTCUSDT,rvol-pivot-structure-break-v1,4h,mode_a|k1.5|v50|p2,Y,18,16.7,0.86,7.56,0.113,FAIL,83,26.5,-22.35,31.31,-0.714,FAIL,0.04,-0.59,
BTCUSDT,rvol-pivot-structure-break-v1,4h,mode_a|k1.5|v20|p3,Y,20,30.0,7.80,7.56,1.032,FAIL,88,28.4,-21.98,31.31,-0.702,FAIL,0.21,-0.57,Near-miss 6m (1.03x B&H)
BTCUSDT,rvol-pivot-structure-break-v1,4h,mode_b|k1.2|v20|L5,Y,31,41.9,6.01,7.56,0.796,FAIL,111,32.4,-39.44,31.31,-1.260,FAIL,0.17,-1.19,
BTCUSDT,rvol-pivot-structure-break-v1,4h,mode_b|k1.5|v20|L10,Y,12,25.0,9.64,7.56,1.276,PASS,52,30.8,6.71,31.31,0.214,FAIL,0.27,0.25,
BTCUSDT,rvol-pivot-structure-break-v1,4h,mode_b|k2.0|v20|L20,Y,3,33.3,0.23,7.56,0.031,FAIL,15,26.7,2.59,31.31,0.083,FAIL,0.01,0.11,
