symbol,strategy_id,tf,mode_params,sol_smoke,bnb_smoke,n_6m,wr_6m_pct,mode_a_ret_6m_pct,bh_ret_6m_pct,ratio_bh_6m,pass_6m,n_full,wr_full_pct,mode_a_ret_full_pct,bh_ret_full_pct,ratio_bh_full,pass_full,ops_ret_6m_pct,ops_ret_full_pct,notes
BTCUSDT,cti-fast-slow-threshold-v1,1h,"mode_a|(20,40)|buy0.5",Y,Y,54,33.3,-7.16,7.10,-1.009,FAIL,216,32.9,-59.56,32.20,-1.850,FAIL,-0.11,-1.89,
BTCUSDT,cti-fast-slow-threshold-v1,1h,"mode_a|(20,40)|buy0.3",Y,Y,53,35.8,-4.22,7.10,-0.595,FAIL,216,33.3,-60.67,32.20,-1.884,FAIL,-0.03,-1.95,
BTCUSDT,cti-fast-slow-threshold-v1,1h,"mode_a|(10,20)|buy0.5",Y,Y,105,37.1,-28.33,7.10,-3.992,FAIL,442,33.5,-69.02,32.20,-2.143,FAIL,-0.72,-2.57,
BTCUSDT,cti-fast-slow-threshold-v1,1h,"mode_a|(10,20)|buy0.3",Y,Y,109,38.5,-26.20,7.10,-3.692,FAIL,449,35.0,-66.63,32.20,-2.069,FAIL,-0.66,-2.38,
BTCUSDT,cti-fast-slow-threshold-v1,1h,mode_b|fast20,Y,Y,115,28.7,-22.28,7.10,-3.140,FAIL,467,28.5,-70.08,32.20,-2.176,FAIL,-0.57,-2.74,
BTCUSDT,cti-fast-slow-threshold-v1,4h,"mode_a|(20,40)|buy0.5",Y,Y,10,30.0,5.12,7.56,0.678,FAIL,53,34.0,-31.95,31.31,-1.020,FAIL,0.26,-0.55,
BTCUSDT,cti-fast-slow-threshold-v1,4h,"mode_a|(20,40)|buy0.3",Y,Y,10,30.0,4.54,7.56,0.601,FAIL,54,37.0,-21.08,31.31,-0.673,FAIL,0.25,-0.20,
BTCUSDT,cti-fast-slow-threshold-v1,4h,"mode_a|(10,20)|buy0.5",Y,Y,27,29.6,3.18,7.56,0.420,FAIL,105,41.9,18.96,31.31,0.606,FAIL,0.15,0.76,
BTCUSDT,cti-fast-slow-threshold-v1,4h,"mode_a|(10,20)|buy0.3",Y,Y,27,40.7,13.20,7.56,1.747,PASS,105,40.0,-3.87,31.31,-0.124,FAIL,0.38,0.22,
BTCUSDT,cti-fast-slow-threshold-v1,4h,mode_b|fast20,Y,Y,27,25.9,-10.82,7.56,-1.432,FAIL,108,38.9,6.45,31.31,0.206,FAIL,-0.22,0.42,
ETHUSDT,cti-fast-slow-threshold-v1,4h,"mode_a|(10,20)|buy0.3",Y,Y,29,41.4,10.53,11.45,0.920,FAIL,108,35.2,-20.17,6.11,-3.298,FAIL,0.38,0.30,Near-miss 6m (0.92x B&H)
BTCUSDT,atrpct-percentile-sma-cross-v1,1h,"mode_a|(20,50)|(25,85)|W100",Y,Y,26,23.1,7.03,7.10,0.991,FAIL,99,31.3,-2.67,32.20,-0.083,FAIL,0.23,0.04,Near-miss 6m (0.99x B&H)
BTCUSDT,atrpct-percentile-sma-cross-v1,1h,"mode_a|(20,50)|(30,100)|W100",Y,Y,31,22.6,-1.39,7.10,-0.196,FAIL,122,32.0,-10.86,32.20,-0.337,FAIL,0.02,-0.16,
BTCUSDT,atrpct-percentile-sma-cross-v1,1h,"mode_a|(20,50)|(40,80)|W100",Y,Y,18,33.3,12.49,7.10,1.759,PASS,74,29.7,-5.31,32.20,-0.165,FAIL,0.35,-0.06,
